Product Name,Code,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,,
Brother,CBRO-LC203K,MFC-J4320DW,MFC-J460DW,MFC-J480DW,MFC-J485DW,MFC-J680DW,MFC-J880DW,MFC-J885DW,MFC-J,,,,,,
Brother,CBRO-LC203K-PT,MFC-J4320DW,MFC-J460DW,MFC-J480DW,MFC-J485DW,MFC-J680DW,MFC-J880DW,MFC-J885DW,MFC-J,,,,,,
Brother,CBRO-LC203M,MFC-J4320DW,MFC-J460DW,MFC-J480DW,MFC-J485DW,MFC-J680DW,MFC-J880DW,MFC-J885DW,MFC-J,,,,,,
Brother,CBRO-LC203M-PT,MFC-J4320DW,MFC-J460DW,MFC-J480DW,MFC-J485DW,MFC-J680DW,MFC-J880DW,MFC-J885DW,MFC-J,,,,,,
Brother,CBRO-LC203Y,MFC-J4320DW,MFC-J460DW,MFC-J480DW,MFC-J485DW,MFC-J680DW,MFC-J880DW,MFC-J885DW,MFC-J,,,,,,
Brother,CBRO-LC203Y-PT,MFC-J4320DW,MFC-J460DW,MFC-J480DW,MFC-J485DW,MFC-J680DW,MFC-J880DW,MFC-J885DW,MFC-J,,,,,,
Brother,CBRO-LC205C,MFC-J4320DW,MFC-J4420DW,MFC-J4620DW,MFC-J5520DW,MFC-J5620DW,MFC-J5720DW,,,,,,,,
Brother,CBRO-LC205C-PT,MFC-J4320DW,MFC-J4420DW,MFC-J4620DW,MFC-J5520DW,MFC-J5620DW,MFC-J5720DW,,,,,,,,
Brother,CBRO-LC205M,MFC-J4320DW,MFC-J4420DW,MFC-J4620DW,MFC-J5520DW,MFC-J5620DW,MFC-J5720DW,,,,,,,,
Brother,CBRO-LC205M-PT,MFC-J4320DW,MFC-J4420DW,MFC-J4620DW,MFC-J5520DW,MFC-J5620DW,MFC-J5720DW,,,,,,,,
Brother,CBRO-LC205Y,MFC-J4320DW,MFC-J4420DW,MFC-J4620DW,MFC-J5520DW,MFC-J5620DW,MFC-J5720DW,,,,,,,,
Brother,CBRO-LC205Y-PT,MFC-J4320DW,MFC-J4420DW,MFC-J4620DW,MFC-J5520DW,MFC-J5620DW,MFC-J5720DW,,,,,,,,
Brother,CBRO-LC207k,MFC-J4320DW,MFC-J4420DW,MFC-J4620DW,,,,,,,,,,,
Brother,CBRO-LC207K-PT,MFC-J4320DW,MFC-J4420DW,MFC-J4620DW,,,,,,,,,,,
Brother,CBRO-LC209K,MFC-J5520DW,MFC-J5620DW,MFC-J5720DW,,,,,,,,,,,
Brother,CBRO-LC209K-PT,MFC-J5520DW,MFC-J5620DW,MFC-J5720DW,,,,,,,,,,,
Brother,CBRO-LC20EC,MFC-J5920DW ,,,,,,,,,,,,,
Brother,CBRO-LC20EC-PT,MFC-J5920DW ,,,,,,,,,,,,,
Brother,CBRO-LC20EK,MFC-J5920DW ,,,,,,,,,,,,,
Brother,CBRO-LC20EK-PT,MFC-J5920DW ,,,,,,,,,,,,,
Brother,CBRO-LC20EM,MFC-J5920DW ,,,,,,,,,,,,,
Brother,CBRO-LC20EM-PT,MFC-J5920DW ,,,,,,,,,,,,,
Brother,CBRO-LC20EY,MFC-J5920DW ,,,,,,,,,,,,,
Brother,CBRO-LC20EY-PT,MFC-J5920DW ,,,,,,,,,,,,,
Brother,CBRO-LC3013BK,MFC J491DW,MFC J497DW,MFC J690DW,MFC J895DW,,,,,,,,,,
Brother,CBRO-LC3013C,MFC J491DW,MFC J497DW,MFC J690DW,MFC J895DW,,,,,,,,,,
Brother,cbro-lc3013c-pt,MFC J491DW,MFC J497DW,MFC J690DW,MFC J895DW,,,,,,,,,,
Brother,cbro-lc3013k-pt,MFC J491DW,MFC J497DW,MFC J690DW,MFC J895DW,,,,,,,,,,
Brother,CBRO-LC3013M,MFC J491DW,MFC J497DW,MFC J690DW,MFC J895DW,,,,,,,,,,
Brother,cbro-lc3013m-pt,MFC J491DW,MFC J497DW,MFC J690DW,MFC J895DW,,,,,,,,,,
Brother,CBRO-LC3013Y,MFC J491DW,MFC J497DW,MFC J690DW,MFC J895DW,,,,,,,,,,
Brother,cbro-lc3013y-pt,MFC J491DW,MFC J497DW,MFC J690DW,MFC J895DW,,,,,,,,,,
Brother,CBRO-LC3017BK,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3017C,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3017C-PT,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3017K-PT,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3017M,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3017M-PT,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3017Y,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3017Y-PT,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
Brother,CBRO-LC3019BK,MFC-J5330DW,MFC-J6530DW,MFC-J6730DW,MFC-J6930DW,,,,,,,,,,
